store_name,store_id,date,total_signals,unique_visits,student,honda,addidas,retired,bmw,employed,h_&_m,mercedes-benz,job_seeking,tommy_helfinger,apple,male,female,low_income,middle_income,high_income
Kaufland,place_214,2021-01-16,23,15,0,1,0,0,2,2,2,0,0,0,6,23,0,3,16,4
Kaufland,place_214,2021-01-09,20,17,6,1,0,0,1,0,0,0,0,0,1,20,0,5,8,7
Kaufland,place_215,2021-01-16,15,7,1,0,0,0,0,1,0,1,1,0,4,11,4,0,11,4
Kaufland,place_216,2021-01-16,15,7,1,0,0,0,0,0,0,1,0,0,0,15,0,2,12,1
Kaufland,place_227,2021-01-08,13,9,0,0,0,0,0,2,1,0,0,0,1,12,1,4,8,1
Kaufland,place_214,2021-01-18,13,8,1,3,0,0,0,2,0,1,0,1,0,13,0,0,10,3
Kaufland,place_215,2021-01-04,12,10,0,1,0,2,1,0,0,1,1,0,4,12,0,2,8,2
Kaufland,place_214,2021-01-14,12,12,2,2,1,0,0,0,0,3,1,0,0,10,2,1,7,4
Kaufland,place_214,2021-01-15,11,11,2,2,0,0,0,2,0,0,2,1,2,10,1,3,5,3
Rewe,place_160,2021-01-11,11,1,0,0,0,0,11,0,0,11,0,0,0,11,0,11,0,0
Kaufland,place_225,2021-01-06,11,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,7
Rewe,place_210,2021-01-03,11,1,0,0,0,0,11,0,0,0,0,0,0,11,0,0,11,0
Rewe,place_191,2021-01-09,11,8,0,0,0,0,1,0,0,0,3,0,1,11,0,0,8,3
Kaufland,place_227,2021-01-16,11,8,1,2,0,0,1,0,0,0,0,0,0,11,0,4,7,0
Kaufland,place_227,2021-01-13,10,5,0,2,0,0,0,0,0,0,0,0,0,10,0,1,6,3
Rewe,place_138,2021-01-09,10,4,0,2,0,0,0,4,0,0,1,0,0,10,0,0,6,4
Kaufland,place_214,2021-01-21,9,7,2,1,0,2,0,0,0,0,0,0,2,9,0,0,5,4
Kaufland,place_215,2021-01-15,9,6,0,1,0,0,0,1,0,0,0,0,3,6,3,1,8,0
Kaufland,place_213,2021-01-09,9,5,0,0,0,0,0,0,0,0,0,1,0,9,0,1,8,0
Aldi,place_125,2021-01-08,9,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0
Kaufland,place_219,2021-01-20,9,5,0,2,0,0,0,0,0,0,0,0,4,9,0,0,9,0
Kaufland,place_214,2021-01-19,8,7,2,1,0,0,0,0,0,0,0,2,0,8,0,1,7,0
Kaufland,place_224,2021-01-05,8,4,0,0,0,0,0,0,0,1,0,0,0,8,0,2,6,0
Kaufland,place_214,2021-01-20,8,5,0,3,3,0,0,0,0,0,3,0,0,8,0,5,3,0
Rewe,place_159,2021-01-11,8,3,2,5,0,0,1,0,0,0,0,0,0,6,2,2,6,0
Kaufland,place_224,2021-01-02,8,7,0,0,1,0,2,1,0,0,0,0,1,8,0,3,5,0
Kaufland,place_214,2021-01-08,8,7,1,2,0,0,0,0,1,1,0,1,0,8,0,3,5,0
Kaufland,place_213,2021-01-04,8,6,1,1,0,0,0,0,0,1,0,0,0,8,0,1,6,1
Kaufland,place_218,2021-01-16,8,6,2,1,0,1,1,0,1,1,0,0,1,8,0,2,3,3
Kaufland,place_220,2021-01-16,8,5,0,1,0,0,0,0,0,2,2,0,5,8,0,2,6,0
Aldi,place_62,2021-01-21,8,1,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0
Kaufland,place_227,2021-01-15,8,5,0,0,2,0,0,0,0,0,0,0,0,7,1,2,5,1
Kaufland,place_227,2021-01-19,8,2,0,1,0,0,0,0,0,0,1,0,0,8,0,0,8,0
Kaufland,place_214,2021-01-06,8,5,0,0,0,0,0,0,1,0,0,0,0,8,0,2,5,1
Kaufland,place_214,2021-01-07,8,7,0,0,2,0,0,0,0,0,1,0,0,8,0,3,3,2
Kaufland,place_224,2021-01-15,7,5,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,1
Kaufland,place_224,2021-01-07,7,5,0,1,0,0,0,0,0,0,0,0,0,7,0,2,1,4
Rewe,place_138,2021-01-05,7,4,0,0,0,0,0,3,0,0,0,0,0,7,0,0,3,4
Kaufland,place_214,2021-01-12,7,4,1,2,0,0,0,0,0,0,0,0,0,7,0,2,5,0
Kaufland,place_214,2021-01-11,7,4,0,0,0,0,0,0,0,0,0,0,0,7,0,6,1,0
Kaufland,place_213,2021-01-07,7,4,4,0,0,0,0,0,0,4,0,0,0,7,0,0,6,1
Rewe,place_193,2021-01-20,7,1,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,0
Rewe,place_210,2021-01-17,7,1,0,0,0,0,7,0,0,0,0,0,0,7,0,0,7,0
Kaufland,place_220,2021-01-04,7,5,1,0,2,0,0,0,3,0,0,0,0,7,0,3,3,1
Kaufland,place_215,2021-01-07,7,7,1,0,0,0,2,1,1,0,0,0,0,5,2,1,4,1
Kaufland,place_216,2021-01-15,7,4,0,0,0,1,0,0,0,0,0,0,0,4,3,2,2,0
Rewe,place_193,2021-01-04,7,3,0,5,0,0,1,0,0,0,0,0,0,7,0,6,1,0
Rewe,place_210,2021-01-08,7,2,0,0,0,0,6,0,0,0,0,0,0,7,0,0,6,1
Kaufland,place_215,2021-01-20,7,5,1,0,0,0,2,0,0,5,0,0,0,7,0,2,5,0
Kaufland,place_214,2021-01-02,6,6,1,1,1,0,0,0,1,0,0,0,1,6,0,0,4,2
Kaufland,place_213,2021-01-16,6,5,2,0,0,1,0,0,3,2,1,1,0,6,0,1,2,3
Kaufland,place_224,2021-01-18,6,6,0,0,1,1,0,0,1,0,1,1,2,5,1,2,4,0
Kaufland,place_224,2021-01-20,6,4,0,1,0,0,1,0,0,0,0,1,0,6,0,1,4,1
Aldi,place_135,2021-01-11,6,3,0,3,0,0,0,0,3,0,3,0,0,6,0,0,1,5
Rewe,place_193,2021-01-05,6,2,0,6,0,0,0,2,0,0,0,2,0,6,0,4,0,2
Burger King,place_38,2021-01-16,6,2,0,0,0,0,0,0,0,0,5,0,0,6,0,1,5,0
Kaufland,place_225,2021-01-07,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2
Kaufland,place_213,2021-01-15,6,5,0,0,1,0,1,0,1,0,0,0,0,6,0,2,4,0
Rewe,place_204,2021-01-09,6,3,0,0,3,0,0,0,0,0,0,0,0,6,0,1,3,2
Rewe,place_203,2021-01-15,6,4,1,0,1,0,0,0,0,4,0,0,0,6,0,3,2,1
Kaufland,place_225,2021-01-08,6,4,0,2,0,0,0,0,0,0,0,0,0,6,0,0,4,2
Rewe,place_203,2021-01-12,6,2,0,0,0,0,6,0,0,0,0,0,0,1,5,1,0,0
Rewe,place_159,2021-01-13,6,1,6,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0
Rewe,place_171,2021-01-13,6,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3
Rewe,place_191,2021-01-02,6,4,0,0,0,0,0,0,1,0,3,0,0,6,0,0,6,0
Kaufland,place_213,2021-01-08,6,4,0,0,0,1,0,0,0,0,1,0,1,5,1,1,5,0
Kaufland,place_224,2021-01-14,6,5,0,3,0,0,0,0,1,1,0,2,0,5,1,4,1,1
Kaufland,place_225,2021-01-04,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3
Kaufland,place_224,2021-01-13,6,4,0,0,0,0,3,0,0,1,0,0,1,5,1,0,3,3
Kaufland,place_215,2021-01-21,6,4,0,0,0,0,0,1,0,0,1,0,0,6,0,2,3,1
Kaufland,place_220,2021-01-20,6,2,0,0,0,0,0,0,0,5,0,0,0,6,0,1,5,0
Kaufland,place_216,2021-01-09,6,5,0,0,2,0,0,0,0,0,0,0,0,6,0,2,2,2
Kaufland,place_221,2021-01-16,6,4,4,3,3,0,0,0,0,1,3,0,0,6,0,4,1,1
Kaufland,place_216,2021-01-19,6,3,0,0,1,0,0,0,0,4,0,0,0,6,0,0,5,1
Aldi,place_135,2021-01-04,6,2,0,0,0,0,0,0,0,5,0,0,0,6,0,5,0,1
Kaufland,place_223,2021-01-04,6,4,0,0,0,0,2,1,0,0,0,0,0,6,0,0,5,1
Rewe,place_138,2021-01-20,6,1,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6
Kaufland,place_216,2021-01-02,6,4,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,0
Kaufland,place_223,2021-01-19,6,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,1
Kaufland,place_214,2021-01-05,6,6,1,1,0,0,0,0,0,1,0,0,1,6,0,0,5,1
Kaufland,place_227,2021-01-05,6,3,0,0,0,0,0,1,0,0,0,0,1,6,0,0,5,1
Kaufland,place_215,2021-01-06,6,3,1,3,0,2,0,1,0,3,0,0,0,6,0,0,2,4
Kaufland,place_217,2021-01-13,6,4,1,1,0,0,0,0,0,0,0,0,0,3,3,0,5,1
Kaufland,place_224,2021-01-06,6,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1
Rewe,place_203,2021-01-05,6,1,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0
Rewe,place_210,2021-01-02,6,2,0,0,0,0,5,0,0,0,0,0,0,6,0,0,5,1
Kaufland,place_214,2021-01-04,5,4,0,3,0,0,0,0,0,2,0,0,0,5,0,0,5,0
Rewe,place_179,2021-01-04,5,3,0,0,0,0,0,0,0,1,0,3,0,5,0,0,5,0
Rewe,place_193,2021-01-06,5,1,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Rewe,place_160,2021-01-15,5,5,0,0,0,1,1,0,0,1,1,0,1,5,0,1,3,1
Rewe,place_198,2021-01-02,5,2,0,0,0,0,0,3,0,0,3,0,0,5,0,0,5,0
Rewe,place_193,2021-01-09,5,1,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Aldi,place_82,2021-01-09,5,2,0,0,0,0,0,0,0,0,0,1,0,5,0,4,1,0
Rewe,place_193,2021-01-12,5,3,1,3,0,0,0,0,0,1,0,0,0,5,0,4,1,0
Rewe,place_141,2021-01-12,5,4,0,0,0,0,0,0,2,2,0,0,0,5,0,1,1,3
Rewe,place_193,2021-01-16,5,4,1,2,0,0,0,0,0,2,0,0,0,5,0,2,3,0
Lexus,place_245,2021-01-12,5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Rewe,place_193,2021-01-21,5,2,0,4,1,0,1,0,0,0,0,0,0,5,0,4,1,0
Aldi,place_79,2021-01-10,5,2,0,0,0,0,0,0,4,0,0,0,0,5,0,0,5,0
Rewe,place_154,2021-01-06,5,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,4
Rewe,place_154,2021-01-14,5,3,2,0,0,0,1,0,0,3,0,0,0,5,0,0,4,1
Rewe,place_158,2021-01-15,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0
Aldi,place_89,2021-01-18,5,2,0,0,0,0,0,0,0,0,3,0,0,5,0,0,5,0
Rewe,place_159,2021-01-07,5,3,1,3,0,0,0,0,0,0,0,0,0,4,1,2,3,0
McDonald's,place_3,2021-01-15,5,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0
McDonald's,place_3,2021-01-08,5,3,0,0,2,0,0,0,0,0,1,0,1,3,2,0,5,0
Rewe,place_159,2021-01-08,5,2,2,3,0,0,0,0,0,0,0,0,0,3,2,2,3,0
Rewe,place_159,2021-01-16,5,2,2,3,0,0,0,0,0,0,0,0,0,3,2,2,3,0
Kaufland,place_216,2021-01-08,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Rewe,place_182,2021-01-19,5,2,0,0,4,0,0,0,0,0,0,0,0,4,1,0,4,1
Rewe,place_199,2021-01-16,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Kaufland,place_224,2021-01-12,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,4
Rewe,place_205,2021-01-04,5,5,1,1,0,1,0,0,0,0,0,0,0,5,0,1,4,0
Kaufland,place_223,2021-01-07,5,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
Kaufland,place_215,2021-01-02,5,3,0,0,0,4,0,0,0,0,0,0,0,5,0,0,2,3
Kaufland,place_221,2021-01-11,5,4,0,0,0,0,0,0,1,0,0,0,1,5,0,0,3,2
Kaufland,place_219,2021-01-21,5,4,0,0,0,0,0,0,0,0,1,2,0,5,0,1,3,1
Kaufland,place_219,2021-01-16,5,3,3,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0
Rewe,place_210,2021-01-04,5,3,0,0,0,0,3,0,1,0,0,0,0,5,0,0,3,2
Kaufland,place_215,2021-01-08,5,4,0,0,0,2,0,0,0,1,0,1,0,5,0,0,3,2
Kaufland,place_219,2021-01-02,5,4,0,0,0,2,0,0,0,1,0,0,3,5,0,1,3,1
Rewe,place_210,2021-01-07,5,2,0,0,0,0,4,0,0,0,0,0,0,5,0,1,4,0
Kaufland,place_215,2021-01-09,5,4,0,0,0,0,1,0,0,1,0,1,0,5,0,0,5,0
Rewe,place_210,2021-01-10,5,1,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0
Rewe,place_210,2021-01-11,5,2,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0
Kaufland,place_218,2021-01-09,5,4,2,1,0,0,0,0,0,0,0,0,0,4,1,1,4,0
Kaufland,place_216,2021-01-21,5,4,0,0,0,0,1,0,0,0,1,0,0,3,2,0,3,0
Kaufland,place_216,2021-01-18,5,4,1,1,0,0,0,0,0,1,0,0,0,2,3,3,0,0
Kaufland,place_216,2021-01-11,5,4,1,0,0,0,0,0,0,3,0,0,0,5,0,2,3,0
Rewe,place_205,2021-01-02,5,5,0,0,0,0,0,1,0,0,0,0,0,5,0,1,4,0
Kaufland,place_215,2021-01-05,5,5,1,0,1,1,1,0,0,0,0,0,1,5,0,0,4,1
Kaufland,place_225,2021-01-15,5,4,0,0,0,0,0,0,0,0,2,0,0,5,0,1,2,2
Kaufland,place_224,2021-01-21,5,5,0,0,0,0,1,0,0,0,0,0,1,4,1,2,2,0
Aldi,place_109,2021-01-15,5,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,4
Kaufland,place_225,2021-01-05,5,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,3
Kaufland,place_227,2021-01-20,5,3,0,0,1,0,0,0,0,0,0,0,0,5,0,1,4,0
Kaufland,place_224,2021-01-16,4,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0
Kaufland,place_226,2021-01-21,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2
Rewe,place_160,2021-01-19,4,1,0,0,0,0,4,0,0,4,0,0,0,4,0,4,0,0
Rewe,place_183,2021-01-05,4,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,0
Kaufland,place_218,2021-01-15,4,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2
Rewe,place_160,2021-01-14,4,2,0,0,0,0,4,0,0,3,0,0,0,4,0,3,1,0
Kaufland,place_213,2021-01-18,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Kaufland,place_226,2021-01-14,4,4,0,1,1,0,0,0,0,0,1,0,0,4,0,1,2,1
Rewe,place_159,2021-01-14,4,2,1,3,0,0,0,0,0,0,0,0,0,3,1,1,3,0
Kaufland,place_218,2021-01-07,4,3,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,1
Kaufland,place_226,2021-01-09,4,4,0,0,2,0,0,1,0,0,1,0,0,4,0,1,1,2
Rewe,place_159,2021-01-09,4,3,2,1,0,0,0,0,0,0,0,0,0,1,3,2,2,0
Kaufland,place_226,2021-01-02,4,3,0,1,0,0,0,1,0,0,0,0,0,4,0,0,3,1
Rewe,place_161,2021-01-04,4,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_171,2021-01-19,4,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2
Kaufland,place_217,2021-01-21,4,4,1,0,0,0,1,0,0,0,0,1,0,4,0,2,2,0
Rewe,place_158,2021-01-19,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_135,2021-01-15,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0
Kaufland,place_217,2021-01-20,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_135,2021-01-07,4,3,0,2,0,1,0,0,0,2,0,0,0,4,0,0,4,0
Aldi,place_134,2021-01-06,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_132,2021-01-21,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_176,2021-01-12,4,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0
Rewe,place_176,2021-01-14,4,3,2,0,0,1,0,1,0,0,2,0,0,3,1,0,3,1
Rewe,place_176,2021-01-15,4,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0
Aldi,place_132,2021-01-08,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_178,2021-01-06,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2
Lexus,place_245,2021-01-21,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0
Lexus,place_245,2021-01-19,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
Kaufland,place_225,2021-01-19,4,4,1,0,0,1,2,1,0,1,0,0,0,3,1,1,2,1
Rewe,place_156,2021-01-16,4,2,0,0,2,0,0,2,0,0,0,0,0,4,0,2,2,0
Kaufland,place_219,2021-01-07,4,2,0,2,0,0,0,2,0,0,0,0,2,4,0,0,4,0
Kaufland,place_221,2021-01-21,4,4,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,1
McDonald's,place_4,2021-01-21,4,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_97,2021-01-18,4,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,2
Mercedes,place_232,2021-01-20,4,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_138,2021-01-02,4,4,0,0,1,0,0,1,0,0,1,0,0,4,0,0,3,1
Rewe,place_138,2021-01-07,4,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,1
Burger King,place_42,2021-01-01,4,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Rewe,place_138,2021-01-15,4,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4
Kaufland,place_223,2021-01-08,4,4,1,0,0,0,0,0,0,1,1,0,0,4,0,0,1,3
McDonald's,place_20,2021-01-10,4,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_138,2021-01-16,4,4,0,1,0,1,0,0,0,1,0,0,0,3,1,1,3,0
Kaufland,place_223,2021-01-05,4,4,0,0,0,0,1,0,0,0,2,0,0,4,0,3,1,0
Kaufland,place_223,2021-01-02,4,4,0,0,0,1,0,1,0,0,0,0,0,4,0,1,3,0
Aldi,place_85,2021-01-11,4,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0
Kaufland,place_225,2021-01-12,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Aldi,place_99,2021-01-21,4,3,1,0,0,1,0,0,0,0,0,0,0,4,0,1,3,0
Kaufland,place_213,2021-01-06,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2
Kaufland,place_221,2021-01-02,4,4,0,0,0,2,1,0,1,0,0,0,0,4,0,0,3,1
Rewe,place_148,2021-01-05,4,3,0,0,1,0,0,0,0,0,0,0,2,4,0,0,4,0
Rewe,place_148,2021-01-09,4,4,0,1,0,0,1,0,0,0,1,0,1,4,0,0,3,1
Kaufland,place_227,2021-01-21,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0
Kaufland,place_220,2021-01-12,4,4,0,0,1,0,1,0,0,0,0,0,0,4,0,1,3,0
Kaufland,place_220,2021-01-09,4,3,0,0,0,0,0,0,1,2,0,0,0,4,0,3,1,0
Rewe,place_148,2021-01-11,4,3,2,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0
Aldi,place_79,2021-01-13,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Kaufland,place_220,2021-01-02,4,4,1,1,0,0,0,0,0,0,0,0,0,4,0,1,3,0
Rewe,place_153,2021-01-07,4,2,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0
Rewe,place_153,2021-01-18,4,2,0,0,0,0,0,3,0,0,3,0,0,4,0,3,1,0
Kaufland,place_225,2021-01-14,4,3,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1
Kaufland,place_227,2021-01-06,4,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0
McDonald's,place_22,2021-01-12,4,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1,3
Rewe,place_200,2021-01-18,4,1,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0
Rewe,place_210,2021-01-14,4,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_109,2021-01-20,4,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_210,2021-01-16,4,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_199,2021-01-02,4,3,1,0,0,0,1,0,0,1,0,0,0,4,0,0,1,3
Rewe,place_205,2021-01-19,4,3,0,2,0,0,0,0,0,1,0,0,0,4,0,2,2,0
Rewe,place_210,2021-01-21,4,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_191,2021-01-20,4,2,0,0,3,0,0,0,0,0,1,0,0,4,0,0,1,3
Rewe,place_193,2021-01-15,4,3,0,2,1,0,0,1,0,0,0,0,0,4,0,3,0,1
Rewe,place_191,2021-01-14,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_138,2021-01-18,3,3,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,1
Rewe,place_201,2021-01-04,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0
Kaufland,place_226,2021-01-07,3,3,0,1,1,1,0,0,0,0,0,0,0,2,1,0,2,1
Rewe,place_161,2021-01-18,3,2,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0
Kaufland,place_226,2021-01-08,3,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,2,1
Kaufland,place_226,2021-01-12,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1
Kaufland,place_226,2021-01-11,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1
Rewe,place_200,2021-01-16,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0
Kaufland,place_226,2021-01-15,3,2,0,0,0,0,0,0,0,2,0,0,1,3,0,0,2,1
Rewe,place_148,2021-01-19,3,3,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,1
Kaufland,place_226,2021-01-18,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1
Kaufland,place_226,2021-01-19,3,3,0,0,0,0,0,1,0,0,0,1,0,3,0,2,1,0
Rewe,place_149,2021-01-12,3,3,1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,0
Aldi,place_109,2021-01-19,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Rewe,place_196,2021-01-05,3,1,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0
Rewe,place_200,2021-01-09,3,2,0,2,0,0,2,0,0,0,0,0,0,3,0,3,0,0
Kaufland,place_225,2021-01-21,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
Aldi,place_109,2021-01-13,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
McDonald's,place_31,2021-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
Rewe,place_160,2021-01-06,3,3,1,1,0,0,0,0,0,0,1,0,0,3,0,3,0,0
McDonald's,place_4,2021-01-06,3,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0
Kaufland,place_224,2021-01-04,3,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,1
Rewe,place_205,2021-01-05,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Rewe,place_193,2021-01-08,3,2,0,3,0,0,0,1,0,0,0,1,0,3,0,2,0,1
